measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Sweden,Both,All ages,Cardiovascular diseases,Number,1997,44444.05355129079,46842.53741133699,39828.620125130496
Deaths,Israel,Both,All ages,Road injuries,Number,1995,699.4724613169323,719.3331885186,677.1459836281658
Deaths,Israel,Both,All ages,Motor vehicle road injuries,Number,1995,393.59117349905216,405.63649235669715,380.28427139738625
Deaths,Latvia,Both,All ages,Liver cancer due to alcohol use,Number,1997,36.14687658953865,46.19014307265723,27.018625836384523
Deaths,Latvia,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1997,1137.1162574702178,1219.0322422183485,1061.1664471904037
Deaths,Greece,Both,All ages,Self-harm,Number,1997,408.3257104199461,425.3542877364956,393.08652961157446
Deaths,Latvia,Both,All ages,Diabetes mellitus,Number,1997,261.8129214682018,280.87875007821754,241.8403318164061
Deaths,Portugal,Both,All ages,Self-harm,Number,1995,1477.9855029272396,1531.0263370268983,1422.3139418491373
Deaths,Japan,Both,All ages,Alcohol use disorders,Number,1997,561.9342369489523,576.6147018152905,548.6464918215339
Deaths,Japan,Both,All ages,Opioid use disorders,Number,1997,174.60385059767393,183.17921991930885,166.85791116383743
Deaths,Japan,Both,All ages,Diabetes mellitus,Number,1997,7702.004313653776,8156.3727809991315,6899.534959384238
Deaths,Latvia,Both,All ages,Police conflict and executions,Number,1997,0.010563125905642413,0.014962191976319596,0.008318806866925784
Deaths,Iceland,Both,All ages,Cardiovascular diseases,Number,1997,761.5818313266984,808.5401401374073,677.6613847696151
Deaths,Sweden,Both,All ages,Road injuries,Number,1997,603.5244997355294,626.9975132194655,579.8759576544652
Deaths,Iceland,Both,All ages,Road injuries,Number,1997,23.57062511692022,24.640193879241234,22.362757355926725
Deaths,Iceland,Both,All ages,Motor vehicle road injuries,Number,1997,17.54565605756121,18.363207596644557,16.612458123400714
